escenario,target_x,target_y,target_z,metodo,converge,busquedas,iteraciones,tiempo_s,E,pos_err_m,rot_err_rad
1,0.3,0.3,0.2,NR,True,1.0,5.0,0.0,1.1720267024660642e-10,3.370120061572735e-10,0.0
1,0.3,0.3,0.2,GN,True,1.0,5.0,0.0,1.1720267024857889e-10,3.370120061572735e-10,0.0
1,0.3,0.3,0.2,LM (Chan),True,1.0,7.0,0.0009996891021728516,1.1261466438072425e-10,2.505253694650475e-10,0.0
1,0.3,0.3,0.2,LM (Sugihara),False,,,,0.003932312909121134,0.0865028882258851,0.008190697202239828
2,0.35,0.25,0.25,NR,True,1.0,25.0,0.0009996891021728516,4.1637212647646205e-13,8.999661300214625e-13,0.0
2,0.35,0.25,0.25,GN,True,5.0,115.0,0.005000591278076172,1.3805510880887615e-10,4.0469771583968713e-10,0.0
2,0.35,0.25,0.25,LM (Chan),True,1.0,8.0,0.000997781753540039,7.990065929010987e-08,4.7885711741122525e-09,2.9802322387695312e-08
2,0.35,0.25,0.25,LM (Sugihara),False,,,,0.010138420210330311,0.13646280393028468,0.023477758354873368
3,0.28,0.35,0.18,NR,True,1.0,5.0,0.0009925365447998047,3.98794785389191e-09,3.3789950332133245e-09,0.0
3,0.28,0.35,0.18,GN,True,1.0,5.0,0.0,3.987947853894752e-09,3.3789949982704076e-09,0.0
3,0.28,0.35,0.18,LM (Chan),True,1.0,6.0,0.0010051727294921875,7.81048105691012e-11,7.903504962366652e-10,0.0
3,0.28,0.35,0.18,LM (Sugihara),False,,,,0.015173834896906551,0.17085976266730005,0.013797697867348432
4,0.25,0.22,0.15,NR,True,1.0,6.0,0.0,3.839822026398193e-08,2.1060724181236576e-08,8.161702118890975e-08
4,0.25,0.22,0.15,GN,True,1.0,6.0,0.0009996891021728516,3.839822026405691e-08,2.1060724217419806e-08,8.161702118890975e-08
4,0.25,0.22,0.15,LM (Chan),True,1.0,5.0,0.0,1.5861590999827177e-07,5.112315575299098e-08,1.6323404237781964e-07
4,0.25,0.22,0.15,LM (Sugihara),False,,,,0.003318765865670493,0.07976462964584886,0.006348016422295352
5,0.32,0.28,0.3,NR,True,3.0,58.0,0.0020003318786621094,4.735393899946811e-10,5.143628180614918e-10,0.0
5,0.32,0.28,0.3,GN,True,3.0,65.0,0.002001047134399414,4.73539389993687e-10,5.143629010675625e-10,0.0
5,0.32,0.28,0.3,LM (Chan),True,1.0,8.0,0.0009965896606445312,2.641876174108219e-10,5.041298910821263e-10,0.0
5,0.32,0.28,0.3,LM (Sugihara),False,,,,0.030635854321303686,0.24354357146239047,0.027843414252674264
